subset,MAE,MSE,RMSE,R2
lag,248.71949870383347,125718.30570558547,333.8040034452249,0.684903776967287
economic,263.9592722837107,139607.42313990588,350.1407806961587,0.6406143645690041
weather,310.5690037037739,187072.87214777735,404.88970770068005,0.5437679253865214
