Date,Ensemble_Forecast,EMA7_Forecast,Lower_CI,Upper_CI
2025-07-16,7977.662029302137,7996.209207319944,7707.992545506924,8247.33151309735
2025-07-17,7971.848244045896,7996.209207319944,7702.3752840521665,8241.321204039625
2025-07-18,7963.321150516575,7996.209207319944,7694.136432479183,8232.505868553966
2025-07-19,7956.742310108146,7996.209207319944,7687.779977086614,8225.704643129677
2025-07-20,7952.296083334088,7996.209207319944,7683.484046436231,8221.108120231944
2025-07-21,7944.7808740778355,7996.209207319944,7676.222874339401,8213.33887381627
2025-07-22,7937.89797627087,7996.209207319944,7669.572639622423,8206.223312919316
2025-07-23,7932.129921172485,7996.209207319944,7663.9995625057045,8200.260279839267
2025-07-24,7926.640707033699,7996.209207319944,7658.695900667556,8194.585513399843
2025-07-25,7922.103657014435,7996.209207319944,7654.312216876662,8189.895097152208
2025-07-26,7918.090960502042,7996.209207319944,7650.435161833305,8185.74675917078
2025-07-27,7914.927170023329,7996.209207319944,7647.3783171918685,8182.47602285479
2025-07-28,7912.458755330887,7996.209207319944,7644.993342498947,8179.924168162826
2025-07-29,7910.675722804172,7996.209207319944,7643.270581949073,8178.080863659272
2025-07-30,7909.551369297416,7996.209207319944,7642.184235044834,8176.918503549999
2025-07-31,7908.646030531509,7996.209207319944,7641.309499510396,8175.9825615526215
2025-08-01,7908.052332775238,7996.209207319944,7640.735870562114,8175.368794988362
2025-08-02,7907.793935524093,7996.209207319944,7640.486207931848,8175.101663116338
2025-08-03,7907.807759370564,7996.209207319944,7640.499564489842,8175.115954251286
2025-08-04,7908.23137060016,7996.209207319944,7640.908856358553,8175.553884841766
2025-08-05,7909.0097548354515,7996.209207319944,7641.660928815512,8176.358580855391
2025-08-06,7910.427797275546,7996.209207319944,7643.031037064936,8177.824557486157
2025-08-07,7911.7608907916965,7996.209207319944,7644.319067925006,8179.202713658387
2025-08-08,7913.637348754517,7996.209207319944,7646.132095844245,8181.142601664789
2025-08-09,7915.648130130856,7996.209207319944,7648.074906632986,8183.221353628725
2025-08-10,7917.720943097803,7996.209207319944,7650.077652154015,8185.364234041591
2025-08-11,7920.119991928164,7996.209207319944,7652.3956057640835,8187.844378092245
2025-08-12,7922.70830596425,7996.209207319944,7654.896426834505,8190.520185093995
2025-08-13,7925.446810042728,7996.209207319944,7657.542361062506,8193.351259022951
2025-08-14,7928.300402133064,7996.209207319944,7660.299492974015,8196.301311292114
2025-08-15,7931.3432871366895,7996.209207319944,7663.239519116841,8199.447055156537
2025-08-16,7934.704953609732,7996.209207319944,7666.487550936128,8202.922356283336
2025-08-17,7938.136408898189,7996.209207319944,7669.803012494479,8206.469805301898
2025-08-18,7941.69565576178,7996.209207319944,7673.241945880151,8210.149365643409
2025-08-19,7945.364545573855,7996.209207319944,7676.7868159458285,8213.942275201882
2025-08-20,7949.12764073142,7996.209207319944,7680.422706926921,8217.83257453592
2025-08-21,7952.989044676587,7996.209207319944,7684.153583556592,8221.824505796581
2025-08-22,7956.943341134466,7996.209207319944,7687.974212646682,8225.91246962225
2025-08-23,7960.980072320508,7996.209207319944,7691.874489917885,8230.08565472313
2025-08-24,7965.0896602899375,7996.209207319944,7695.845161189382,8234.334159390492
2025-08-25,7969.2649244703825,7996.209207319944,7699.879288614207,8238.650560326558
2025-08-26,7973.501771232827,7996.209207319944,7703.97291694058,8243.030625525074
2025-08-27,7977.793838153457,7996.209207319944,7708.119898814156,8247.467777492757
2025-08-28,7982.1361488772745,7996.209207319944,7712.315426096025,8251.956871658525
2025-08-29,7986.523475666484,7996.209207319944,7716.554447761986,8256.492503570982
2025-08-30,7990.952227657659,7996.209207319944,7720.833494330829,8261.070960984489
2025-08-31,7995.4207697081565,7996.209207319944,7725.150985932755,8265.690553483559
2025-09-01,7999.925007034478,7996.209207319944,7729.502966200527,8270.347047868428
2025-09-02,8004.4611602361,7996.209207319944,7733.88578348897,8275.036536983229
2025-09-03,8009.025008838129,7996.209207319944,7738.295359988207,8279.75465768805
2025-09-04,8013.6122689427275,7996.209207319944,7742.727556609307,8284.496981276148
2025-09-05,8018.221996132697,7996.209207319944,7747.181460859273,8289.26253140612
2025-09-06,8022.847953675624,7996.209207319944,7751.651046826408,8294.04486052484
2025-09-07,8027.490961451791,7996.209207319944,7756.137106676521,8298.844816227062
2025-09-08,8032.145601454587,7996.209207319944,7760.63440554827,8303.656797360905
2025-09-09,8036.811874261253,7996.209207319944,7765.142943999382,8308.480804523126
2025-09-10,8041.485874779869,7996.209207319944,7769.658948942039,8313.312800617698
2025-09-11,8046.168169776202,7996.209207319944,7774.182967983588,8318.153371568817
2025-09-12,8050.853845740952,7996.209207319944,7778.710253706435,8322.99743777547
2025-09-13,8055.5405716108635,7996.209207319944,7783.238553844422,8327.842589377304
2025-09-14,8060.229040997587,7996.209207319944,7787.768538562998,8332.689543432176
2025-09-15,8064.91673430077,7996.209207319944,7792.297773432042,8337.535695169498
2025-09-16,8069.600122925443,7996.209207319944,7796.822849133933,8342.377396716955
2025-09-17,8074.279207448848,7996.209207319944,7801.3437662264005,8347.214648671295
2025-09-18,8078.9519721907045,7996.209207319944,7805.85857716535,8352.045367216058
2025-09-19,8083.619425568393,7996.209207319944,7810.368256280557,8356.87059485623
2025-09-20,8088.27677918677,7996.209207319944,7814.868177039343,8361.685381334197
2025-09-21,8092.925356846188,7996.209207319944,7819.359618493543,8366.491095198833
2025-09-22,8097.564024437872,7996.209207319944,7823.8414848707425,8371.286564005002
2025-09-23,8102.191396470249,7996.209207319944,7828.312437513238,8376.07035542726
