Date,Forecasted_Cotton_Price,CI_Lower_95,CI_Upper_95
2025-06-22,7720.134453773498,6948.121008396148,8492.147899150848
2025-06-23,7727.373013496398,6954.635712146758,8500.110314846039
2025-06-24,7728.888897895812,6956.000008106231,8501.777787685394
2025-06-25,7726.993689537047,6954.294320583343,8499.693058490753
2025-06-26,7723.054189682006,6950.748770713805,8495.359608650208
2025-06-27,7717.87703514099,6946.089331626891,8489.66473865509
2025-06-28,7711.934528350829,6940.741075515746,8483.127981185913
2025-06-29,7705.500311851501,6934.95028066635,8476.050343036652
2025-06-30,7698.732466697692,6928.859220027923,8468.605713367462
2025-07-01,7691.719031333922,6922.54712820053,8460.890934467316
2025-07-02,7682.375664710998,6914.138098239898,8450.613231182098
2025-07-03,7672.11548089981,6904.903932809829,8439.327028989792
2025-07-04,7661.408400535583,6895.267560482024,8427.549240589142
2025-07-05,7650.571556091308,6885.514400482177,8415.62871170044
2025-07-06,7639.808988571166,6875.828089714049,8403.789887428284
2025-07-07,7629.239170551299,6866.315253496169,8392.16308760643
2025-07-08,7618.923676013946,6857.031308412551,8380.816043615341
2025-07-09,7608.886499404906,6847.997849464416,8369.775149345398
2025-07-10,7599.126052856444,6839.2134475708,8359.03865814209
2025-07-11,7589.626898765563,6830.664208889007,8348.58958864212
2025-07-12,7580.362572669982,6822.326315402984,8338.398829936981
2025-07-13,7571.30431652069,6814.173884868621,8328.43474817276
2025-07-14,7562.4202847480765,6806.178256273269,8318.662313222885
2025-07-15,7553.679425716399,6798.311483144759,8309.04736828804
2025-07-16,7544.900193214416,6790.410173892974,8299.390212535858
2025-07-17,7536.168243885039,6782.551419496535,8289.785068273544
2025-07-18,7527.471051216125,6774.723946094512,8280.218156337738
2025-07-19,7518.78047466278,6766.902427196502,8270.658522129059
2025-07-20,7510.071372985839,6759.064235687255,8261.078510284424
2025-07-21,7501.321780681609,6751.189602613448,8251.453958749771
