subset,MAE,MSE,RMSE,R2
lag,189.28581712918594,68450.34757929115,255.77190116528118,0.60064344423001
economic,160.7415496345175,52537.8736198298,218.16998330896118,0.8477688434721223
weather,299.5327208600483,144586.40647988825,360.73142075738787,0.5147911472115594
seasonal,188.42661691318565,65321.02791924338,248.94864043463136,0.7294934554960877
